Id,MSSubClass,MSZoning,LotFrontage,LotArea,Street,Alley,LotShape,LandContour,Utilities,LotConfig,LandSlope,Neighborhood,Condition1,Condition2,BldgType,HouseStyle,OverallQual,OverallCond,YearBuilt,YearRemodAdd,RoofStyle,RoofMatl,Exterior1st,Exterior2nd,MasVnrType,MasVnrArea,ExterQual,ExterCond,Foundation,BsmtQual,BsmtCond,BsmtExposure,BsmtFinType1,BsmtFinSF1,BsmtFinType2,BsmtFinSF2,BsmtUnfSF,TotalBsmtSF,Heating,HeatingQC,CentralAir,Electrical,1stFlrSF,2ndFlrSF,LowQualFinSF,GrLivArea,BsmtFullBath,BsmtHalfBath,FullBath,HalfBath,BedroomAbvGr,KitchenAbvGr,KitchenQual,TotRmsAbvGrd,Functional,Fireplaces,FireplaceQu,GarageType,GarageYrBlt,GarageFinish,GarageCars,GarageArea,GarageQual,GarageCond,PavedDrive,WoodDeckSF,OpenPorchSF,EnclosedPorch,3SsnPorch,ScreenPorch,PoolArea,PoolQC,Fence,MiscFeature,MiscVal,MoSold,YrSold,SaleType,SaleCondition,SalePrice
1,60,RL,65.0,9.042040056544483,Pave,NA,Reg,Lvl,AllPub,Inside,Gtl,CollgCr,Norm,Norm,1Fam,2Story,7,5,2003,2003,Gable,CompShg,VinylSd,VinylSd,BrkFace,196.0,Gd,TA,PConc,Gd,TA,No,GLQ,706.0,Unf,0.0,150,856.0,GasA,Ex,Y,SBrkr,856.0,854.0,0,1710.0,1,0,2,1,3,1,Gd,8,Typ,0,NA,Attchd,2003,RFn,2,548.0,TA,TA,Y,0.0,61.0,0,0,0,0,NA,NA,NA,0,2,2008,WD,Normal,12.24769911637256
2,20,RL,80.0,9.169622538697624,Pave,NA,Reg,Lvl,AllPub,FR2,Gtl,Veenker,Feedr,Norm,1Fam,1Story,6,8,1976,1976,Gable,CompShg,MetalSd,MetalSd,None,0.0,TA,TA,CBlock,Gd,TA,Gd,ALQ,978.0,Unf,0.0,284,1262.0,GasA,Ex,Y,SBrkr,1262.0,0.0,0,1262.0,0,1,2,0,3,1,TA,6,Typ,1,TA,Attchd,1976,RFn,2,460.0,TA,TA,Y,298.0,0.0,0,0,0,0,NA,NA,NA,0,5,2007,WD,Normal,12.109016442313738
3,60,RL,68.0,9.328212292571072,Pave,NA,IR1,Lvl,AllPub,Inside,Gtl,CollgCr,Norm,Norm,1Fam,2Story,7,5,2001,2002,Gable,CompShg,VinylSd,VinylSd,BrkFace,162.0,Gd,TA,PConc,Gd,TA,Mn,GLQ,486.0,Unf,0.0,434,920.0,GasA,Ex,Y,SBrkr,920.0,866.0,0,1786.0,1,0,2,1,3,1,Gd,6,Typ,1,TA,Attchd,2001,RFn,2,608.0,TA,TA,Y,0.0,42.0,0,0,0,0,NA,NA,NA,0,9,2008,WD,Normal,12.317171167298682
4,70,RL,60.0,9.164401140034737,Pave,NA,IR1,Lvl,AllPub,Corner,Gtl,Crawfor,Norm,Norm,1Fam,2Story,7,5,1915,1970,Gable,CompShg,Wd Sdng,Wd Shng,None,0.0,TA,TA,BrkTil,TA,Gd,No,ALQ,216.0,Unf,0.0,540,756.0,GasA,Gd,Y,SBrkr,961.0,756.0,0,1717.0,1,0,1,0,3,1,Gd,7,Typ,1,Gd,Detchd,1998,Unf,3,642.0,TA,TA,Y,0.0,35.0,272,0,0,0,NA,NA,NA,0,2,2006,WD,Abnorml,11.849404844423074
5,60,RL,84.0,9.565283817736766,Pave,NA,IR1,Lvl,AllPub,FR2,Gtl,NoRidge,Norm,Norm,1Fam,2Story,8,5,2000,2000,Gable,CompShg,VinylSd,VinylSd,BrkFace,350.0,Gd,TA,PConc,Gd,TA,Av,GLQ,655.0,Unf,0.0,490,1145.0,GasA,Ex,Y,SBrkr,1145.0,1053.0,0,2198.0,1,0,2,1,4,1,Gd,9,Typ,1,TA,Attchd,2000,RFn,3,836.0,TA,TA,Y,192.0,84.0,0,0,0,0,NA,NA,NA,0,12,2008,WD,Normal,12.429220196836383
6,50,RL,85.0,9.55506418479516,Pave,NA,IR1,Lvl,AllPub,Inside,Gtl,Mitchel,Norm,Norm,1Fam,1.5Fin,5,5,1993,1995,Gable,CompShg,VinylSd,VinylSd,None,0.0,TA,TA,Wood,Gd,TA,No,GLQ,732.0,Unf,0.0,64,796.0,GasA,Ex,Y,SBrkr,796.0,566.0,0,1362.0,1,0,1,1,1,1,TA,5,Typ,0,NA,Attchd,1993,Unf,2,480.0,TA,TA,Y,40.0,30.0,0,320,0,0,NA,MnPrv,Shed,700,10,2009,WD,Normal,11.870606902224587
7,20,RL,75.0,9.218804450388312,Pave,NA,Reg,Lvl,AllPub,Inside,Gtl,Somerst,Norm,Norm,1Fam,1Story,8,5,2004,2005,Gable,CompShg,VinylSd,VinylSd,Stone,186.0,Gd,TA,PConc,Ex,TA,Av,GLQ,1369.0,Unf,0.0,317,1686.0,GasA,Ex,Y,SBrkr,1694.0,0.0,0,1694.0,1,0,2,0,3,1,Gd,7,Typ,1,Gd,Attchd,2004,RFn,2,636.0,TA,TA,Y,255.0,57.0,0,0,0,0,NA,NA,NA,0,8,2007,WD,Normal,12.634606283893019
8,60,RL,80.0,9.247925132303454,Pave,NA,IR1,Lvl,AllPub,Corner,Gtl,NWAmes,PosN,Norm,1Fam,2Story,7,6,1973,1973,Gable,CompShg,HdBoard,HdBoard,Stone,240.0,TA,TA,CBlock,Gd,TA,Mn,ALQ,859.0,BLQ,32.0,216,1107.0,GasA,Ex,Y,SBrkr,1107.0,983.0,0,2090.0,1,0,2,1,3,1,TA,7,Typ,2,TA,Attchd,1973,RFn,2,484.0,TA,TA,Y,235.0,204.0,228,0,0,0,NA,NA,Shed,350,11,2009,WD,Normal,12.206077645517674
9,50,RM,51.0,8.71948076085107,Pave,NA,Reg,Lvl,AllPub,Inside,Gtl,OldTown,Artery,Norm,1Fam,1.5Fin,7,5,1931,1950,Gable,CompShg,BrkFace,Wd Shng,None,0.0,TA,TA,BrkTil,TA,TA,No,Unf,0.0,Unf,0.0,952,952.0,GasA,Gd,Y,FuseF,1022.0,752.0,0,1774.0,0,0,2,0,2,2,TA,8,Min1,2,TA,Detchd,1931,Unf,2,468.0,Fa,TA,Y,90.0,0.0,205,0,0,0,NA,NA,NA,0,4,2008,WD,Abnorml,11.774527900858468
10,190,RL,50.0,8.912069097970134,Pave,NA,Reg,Lvl,AllPub,Corner,Gtl,BrkSide,Artery,Artery,2fmCon,1.5Unf,5,6,1939,1950,Gable,CompShg,MetalSd,MetalSd,None,0.0,TA,TA,BrkTil,TA,TA,No,GLQ,851.0,Unf,0.0,140,991.0,GasA,Ex,Y,SBrkr,1077.0,0.0,0,1077.0,1,0,1,0,2,2,TA,5,Typ,2,TA,Attchd,1939,RFn,1,205.0,Gd,TA,Y,0.0,4.0,0,0,0,0,NA,NA,NA,0,1,2008,WD,Normal,11.678448377988165
